text,heading,href,date,article_index,tag
"Newcastle-manageren mener Rangnick vil gjøre umiddelbare endringer i Manchester-klubben, og sier han allerede har sett litt av det under Manchester Uniteds første kamper under Rangnick. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"Etter at Manchester United ble rammet av et coronautbrudd tidligere i desember, har ikke laget spilt kamp siden 11. desember. For øyeblikket er kun en skadet Paul Pogba utilgjengelig, noe som gjør at Manchester United har kunnet legge ned en god jobb på treningsfeltet inn mot romjulskampene. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"Laget trener med mye energi, og med høyt tempo. Nå må vi vise det også i de store kampene, sier Manchester United-keeper David de Gea til klubbens hjemmeside. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
"– Det er veldig intenst, hver eneste treningsøkt, hvert eneste øyeblikk med ham (Rangnick) er intenst, sier De Gea. ",Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,p
VG-tips: Newcastle United – Manchester United,Howe hyller Rangnick: − En pionér,https://vg.no/sport/fotball/i/qW7Mp0/howe-hyller-rangnick-en-pioner,2022-01-01,12.0,h2
Buffon om Ronaldo-effekten: − Mistet samholdet,Buffon om Ronaldo-effekten: − Mistet samholdet,https://vg.no/sport/fotball/i/k6yzbX/buffon-om-ronaldo-effekten-mistet-samholdet,2022-01-01,13.0,h1
Juventus-legenden Gianluigi Buffon mener Cristiano Ronaldos inntreden i Torino ble starten på slutten for lagfølelsen.,Buffon om Ronaldo-effekten: − Mistet samholdet,https://vg.no/sport/fotball/i/k6yzbX/buffon-om-ronaldo-effekten-mistet-samholdet,2022-01-01,13.0,p
"– Jeg jobbet med Ronaldo i to år da jeg kom tilbake og vi gjorde det bra sammen, men jeg tror Juventus mistet lagets DNA, sier Buffon i et intervju med amerikanske TUDN.",Buffon om Ronaldo-effekten: − Mistet samholdet,https://vg.no/sport/fotball/i/k6yzbX/buffon-om-ronaldo-effekten-mistet-samholdet,2022-01-01,13.0,p
Suverene City vant igjen – slo Leicester i ellevill målfest,Suverene City vant igjen – slo Leicester i ellevill målfest,https://vg.no/sport/fotball/i/z7Qy71/suverene-city-vant-igjen-slo-leicester-i-ellevill-maalfest,2022-01-01,14.0,h1
"(Manchester City – Leicester 6–3) Nok en gang gikk Manchester City seirende av banen i Premier League. Men etter å ha ledet stort, ble det en berg-og- dalbane for hjemmelaget.",Suverene City vant igjen – slo Leicester i ellevill målfest,https://vg.no/sport/fotball/i/z7Qy71/suverene-city-vant-igjen-slo-leicester-i-ellevill-maalfest,2022-01-01,14.0,p
– Det er skuffende. Vi måtte bare kontrollere kampen. Det skulle være «enkel» fotball. Med 4-0- ledelse må du drepe kampen. Leicester har noen virkelig gode spillere. De ble ikke motløse og fortsatte.,Suverene City vant igjen – slo Leicester i ellevill målfest,https://vg.no/sport/fotball/i/z7Qy71/suverene-city-vant-igjen-slo-leicester-i-ellevill-maalfest,2022-01-01,14.0,p
Slik går det med lagene som leder 2. juledag: Halvparten tar ligagull,Slik går det med lagene som leder 2. juledag: Halvparten tar ligagull,https://vg.no/sport/fotball/i/47Xg0E/slik-gaar-det-med-lagene-som-leder-2-juledag-halvparten-tar-ligagull,2022-01-01,15.0,h1
En julestatistikk sier at det er 50 prosent sjanse for at Manchester City vinner ligagull. Men det kan neppe kalles et juleunder om det slår til. ,Slik går det med lagene som leder 2. juledag: Halvparten tar ligagull,https://vg.no/sport/fotball/i/47Xg0E/slik-gaar-det-med-lagene-som-leder-2-juledag-halvparten-tar-ligagull,2022-01-01,15.0,p
"Siden øverste nivå i engelsk fotball fikk navnet Premier League i 1992, så har laget som leder Premier League når 2. juledagskampene spilles vunnet ligagull halvparten av gangene. ",Slik går det med lagene som leder 2. juledag: Halvparten tar ligagull,https://vg.no/sport/fotball/i/47Xg0E/slik-gaar-det-med-lagene-som-leder-2-juledag-halvparten-tar-ligagull,2022-01-01,15.0,p
"Den elleville Boxing Day, anno 1963","Den elleville Boxing Day, anno 1963",https://vg.no/sport/fotball/i/5GORP6/den-elleville-boxing-day-anno-1963,2022-01-01,16.0,h1
"Det hevdes at det ikke blir jul i England før «alle» har postet listen med kampene fra Boxing Day 1963 på sosiale medier. Og ja, det var definitivt den mest ekstreme av det ekstreme på denne dagen: 66 scoringer på 10 kamper ...","Den elleville Boxing Day, anno 1963",https://vg.no/sport/fotball/i/5GORP6/den-elleville-boxing-day-anno-1963,2022-01-01,16.0,p
"Hvis 16. mai er fotballens festdag i Norge, så har England sin «Boxing Day». 26. desember, da «alle» i England har fri og fotballen står enda sterkere i fokus enn ellers i sesongen.","Den elleville Boxing Day, anno 1963",https://vg.no/sport/fotball/i/5GORP6/den-elleville-boxing-day-anno-1963,2022-01-01,16.0,p
Liverpool refset publikum for homohets i poengdeling,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-01,17.0,h1
(Liverpool - Chelsea 0–0) Det ble ingen stor forestilling mellom de to gigantene på Anfield. Isteden var det utenomsportslige tilrop som tok oppmerksomheten.,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-01,17.0,p
"Etter en snau halvtime i det som var en tafatt førsteomgang på Merseyside, brøt stadions speaker inn. Klubben ville at publikum stoppe med homofobiske tilrop, som ofte har vært en tendens når disse to lagene har møttes.",Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-01,17.0,p
Speakeren varslet at klubben kommer til å følge opp opptrinnet og at de hadde overvåkingsbilder av hvem som hadde ropt hva.,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-01,17.0,p
Hør hva speakeren sa her:,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-01-01,17.0,p
