,heading,href,date
4050,Ødegaard kritiserer Arsenal-prestasjonen og roser Glimt: − De må være stolte,https://vg.no/sport/fotball/i/9zzv9w/oedegaard-kritiserer-arsenal-prestasjonen-og-roser-glimt-de-maa-vaere-stolte,2022-10-16
4051,Bodø/Glimt misbrukte kjempesjanser i tappert forsøk – tapte etter bisarr scoring,https://vg.no/sport/fotball/i/8JJmkQ/bodoe-glimt-misbrukte-kjempesjanser-i-tappert-forsoek-tapte-etter-bisarr-scoring,2022-10-16
4052,Klaveness holdt ny «FIFA-tale»: − Det koster emosjonelt,https://vg.no/sport/fotball/i/4oodV9/klaveness-holdt-ny-fifa-tale-det-koster-emosjonelt,2022-10-16
4053,Fantasy Premier League Gameweek 11: Problemene hoper seg opp,https://vg.no/sport/fotball/i/155kyM/fantasy-premier-league-gameweek-11-problemene-hoper-seg-opp,2022-10-16
4054,Endelig en opptur for Viking - Brekalo matchvinner etter ekstraomganger,https://vg.no/sport/fotball/i/APL4er/endelig-en-opptur-for-viking-brekalo-matchvinner-etter-ekstraomganger,2022-10-16
4055,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-10-16
4056,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-10-16
4057,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-10-16
4058,Van Dijk stilnet Haaland: − Kan være en generasjonsspiller,https://vg.no/sport/fotball/i/Q77gnx/van-dijk-stilnet-haaland-kan-vaere-en-generasjonsspiller,2022-10-17
4059,Eikrem i tårer etter gullet: − Siste året har vært spesielt,https://vg.no/sport/fotball/i/MooAxm/eikrem-i-taarer-etter-gullet-siste-aaret-har-vaert-spesielt,2022-10-17
4060,Salah senket Haalands City i glohet storkamp: − Et galehus,https://vg.no/sport/fotball/i/6994jL/salah-senket-haalands-city-i-glohet-storkamp-et-galehus,2022-10-17
4061,Heintz matchvinner mot Viking,https://vg.no/sport/fotball/i/zEElj1/heintz-matchvinner-mot-viking,2022-10-17
4062,Bodø/Glimt valset over Vålerenga: − Det ble voldsomt,https://vg.no/sport/fotball/i/q11ykO/bodoe-glimt-valset-over-vaalerenga-det-ble-voldsomt,2022-10-17
4063,Karim Benzema ble helt i Madrid: Senket Barcelona,https://vg.no/sport/fotball/i/mQQKaq/karim-benzema-ble-helt-i-madrid-senket-barcelona,2022-10-17
4064,Ødegaard-assist sørget for Arsenals syvende strake seier: − Elsker det,https://vg.no/sport/fotball/i/9zzkn5/oedegaard-assist-soerget-for-arsenals-syvende-strake-seier-elsker-det,2022-10-17
4065,To annullerte mål – frustrerende dag for Ronaldo og Manchester United,https://vg.no/sport/fotball/i/MooApm/to-annullerte-maal-frustrerende-dag-for-ronaldo-og-manchester-united,2022-10-17
4066,Klopp-uttalelser setter fyr på Fotball-England: − En stor splittelse,https://vg.no/sport/fotball/i/zEEAj5/klopp-uttalelser-setter-fyr-paa-fotball-england-en-stor-splittelse,2022-10-17
4067,Kane scoret i jubileumskampen,https://vg.no/sport/fotball/i/XbbMgn/kane-scoret-i-jubileumskampen,2022-10-17
4068,RBKs angrepstrio fikset biffen etter grov dommertabbe: − Katastrofe,https://vg.no/sport/fotball/i/eJJM9R/rbks-angrepstrio-fikset-biffen-etter-grov-dommertabbe-katastrofe,2022-10-17
4069,Gammel kjenning plaget Tromsø – vanvittig snuoperasjon reddet dagen,https://vg.no/sport/fotball/i/xggm9B/gammel-kjenning-plaget-tromsoe-vanvittig-snuoperasjon-reddet-dagen,2022-10-17
4070,Klopp frustrert før City-kampen: − Du vil ikke like svaret,https://vg.no/sport/fotball/i/mQQQnE/klopp-frustrert-foer-city-kampen-du-vil-ikke-like-svaret,2022-10-17
4071,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-10-17
4072,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-10-17
4073,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-10-17
4074,RBK nekter å stå æresvakt for seriemesteren – Molde-sjefen mener de har misforstått,https://vg.no/sport/fotball/i/y6689E/rbk-nekter-aa-staa-aeresvakt-for-seriemesteren-molde-sjefen-mener-de-har-misforstaatt,2022-10-18
4075,Fantasy Premier League Gameweek 12: Bruke chips eller ta hits?,https://vg.no/sport/fotball/i/q11vLz/fantasy-premier-league-gameweek-12-bruke-chips-eller-ta-hits,2022-10-18
4076,Fotballprofiler slakter City-stjerne: − Sjokkerende,https://vg.no/sport/fotball/i/6994Lo/fotballprofiler-slakter-city-stjerne-sjokkerende,2022-10-18
4077,Van Dijk stilnet Haaland: − Kan være en generasjonsspiller,https://vg.no/sport/fotball/i/Q77gnx/van-dijk-stilnet-haaland-kan-vaere-en-generasjonsspiller,2022-10-18
4078,Eikrem i tårer etter gullet: − Siste året har vært spesielt,https://vg.no/sport/fotball/i/MooAxm/eikrem-i-taarer-etter-gullet-siste-aaret-har-vaert-spesielt,2022-10-18
4079,Salah senket Haalands City i glohet storkamp: − Et galehus,https://vg.no/sport/fotball/i/6994jL/salah-senket-haalands-city-i-glohet-storkamp-et-galehus,2022-10-18
4080,Heintz matchvinner mot Viking,https://vg.no/sport/fotball/i/zEElj1/heintz-matchvinner-mot-viking,2022-10-18
4081,Bodø/Glimt valset over Vålerenga: − Det ble voldsomt,https://vg.no/sport/fotball/i/q11ykO/bodoe-glimt-valset-over-vaalerenga-det-ble-voldsomt,2022-10-18
4082,Karim Benzema ble helt i Madrid: Senket Barcelona,https://vg.no/sport/fotball/i/mQQKaq/karim-benzema-ble-helt-i-madrid-senket-barcelona,2022-10-18
4083,Ødegaard-assist sørget for Arsenals syvende strake seier: − Elsker det,https://vg.no/sport/fotball/i/9zzkn5/oedegaard-assist-soerget-for-arsenals-syvende-strake-seier-elsker-det,2022-10-18
4084,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-10-18
4085,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-10-18
4086,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-10-18
4087,Fengslet i Qatar: NRK-journalist dropper VM-reise,https://vg.no/sport/fotball/i/8JJXow/fengslet-i-qatar-nrk-journalist-dropper-vm-reise,2022-10-19
4088,Knalltøff trekning for Norge i U21-EM: − Dette guttene drømmer om,https://vg.no/sport/fotball/i/eJJkMM/knalltoeff-trekning-for-norge-i-u21-em-dette-guttene-droemmer-om,2022-10-19
4089,RBK nekter å stå æresvakt for seriemesteren – Molde-sjefen mener de har misforstått,https://vg.no/sport/fotball/i/y6689E/rbk-nekter-aa-staa-aeresvakt-for-seriemesteren-molde-sjefen-mener-de-har-misforstaatt,2022-10-19
4090,Fantasy Premier League Gameweek 12: Bruke chips eller ta hits?,https://vg.no/sport/fotball/i/q11vLz/fantasy-premier-league-gameweek-12-bruke-chips-eller-ta-hits,2022-10-19
4091,Fotballprofiler slakter City-stjerne: − Sjokkerende,https://vg.no/sport/fotball/i/6994Lo/fotballprofiler-slakter-city-stjerne-sjokkerende,2022-10-19
4092,Van Dijk stilnet Haaland: − Kan være en generasjonsspiller,https://vg.no/sport/fotball/i/Q77gnx/van-dijk-stilnet-haaland-kan-vaere-en-generasjonsspiller,2022-10-19
4093,Eikrem i tårer etter gullet: − Siste året har vært spesielt,https://vg.no/sport/fotball/i/MooAxm/eikrem-i-taarer-etter-gullet-siste-aaret-har-vaert-spesielt,2022-10-19
4094,Salah senket Haalands City i glohet storkamp: − Et galehus,https://vg.no/sport/fotball/i/6994jL/salah-senket-haalands-city-i-glohet-storkamp-et-galehus,2022-10-19
4095,Liverpool refset publikum for homohets i poengdeling,https://vg.no/sport/fotball/i/MoPzPo/liverpool-refset-publikum-for-homohets-i-poengdeling?utm_content=evergreens-widget-1&utm_source=fotball,2022-10-19
4096,Dette er mannen som vil kjøpe Manchester United,https://vg.no/sport/fotball/i/zE4J91/sir-jim-ratcliffe-dette-er-mannen-som-vil-kjoepe-manchester-united?utm_content=evergreens-widget-2&utm_source=fotball,2022-10-19
4097,Skrev seg til proffkarriere – nå er Dan Eggen filosof,https://vg.no/sport/fotball/i/pQnpWj/skrev-seg-til-proffkarriere-naa-er-dan-eggen-filosof?utm_content=evergreens-widget-3&utm_source=fotball,2022-10-19
4098,Ten Hag om Ronaldo-oppførsel: − Vil håndtere det i morgen,https://vg.no/sport/fotball/i/mQQpVv/ten-hag-om-ronaldo-oppfoersel-vil-haandtere-det-i-morgen,2022-10-20
4099,Manchester United herjet med Tottenham – strålende Lloris hindret ydmykelse,https://vg.no/sport/fotball/i/Lllq1J/manchester-united-herjet-med-tottenham-straalende-lloris-hindret-ydmykelse,2022-10-20
4100,Darwin Núñez med sitt første Anfield-mål – Liverpool med to strake ligaseirer,https://vg.no/sport/fotball/i/2BBVjy/darwin-nunez-med-sitt-foerste-anfield-maal-liverpool-med-to-strake-ligaseirer,2022-10-20
4101,Bolkan Nordli sendte Jerv et langt steg mot nedrykk,https://vg.no/sport/fotball/i/JQQR2P/bolkan-nordli-sendte-jerv-et-langt-steg-mot-nedrykk,2022-10-20
4102,Fengslet i Qatar: NRK-journalist dropper VM-reise,https://vg.no/sport/fotball/i/8JJXow/fengslet-i-qatar-nrk-journalist-dropper-vm-reise,2022-10-20
4103,Knalltøff trekning for Norge i U21-EM: − Dette guttene drømmer om,https://vg.no/sport/fotball/i/eJJkMM/knalltoeff-trekning-for-norge-i-u21-em-dette-guttene-droemmer-om,2022-10-20
